neighborhood,total_safety_score,num_posts
Loop,22,6
Lakeview,10,4
Wicker Park,10,5
Logan Square,10,5
Pilsen,9,3
Lincoln Park,9,4
Albany Park,9,3
Uptown,9,3
Clearing,8,3
Rogers Park,7,3
McKinley Park,5,1
Fulton Park,5,1
Hermosa,5,1
Norwood Park,5,1
Cragin,5,1
Ukrainian Village,5,1
Garfield Park,5,1
Roseland,5,1
Grand Crossing,5,1
Washington Park,5,1
Englewood,5,1
West Garfield Park,5,1
South Loop,4,1
Printer's Row,4,1
South Shore,4,1
Gold Coast,3,2
Little Village,3,1
Andersonville,3,2
Edgewater,3,2
Avondale,2,1
Jefferson Park,2,1
River North,2,1
Bucktown,2,1
Austin,1,1
West Loop,1,1
Hyde Park,1,1
Bronzeville,1,1
Millenium Park,1,1
Chinatown,1,2
Navy Pier,1,1
